molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logPow
asparticacid,4,1,0,2,0,4,0,-2,133.104,0.867,303.093,56.49,246.604,0,0,450.842,3,4,0.001666,0.0228583,0.9381483,9.32,4.94,9.353,9.577,-2.674,0.26,0.41,0.356,0.727,-1.147,0.359,-7.743,10.292,-0.345,4,-1.198,1,18.898,0,0,122.481,5,0,0,0,0,0,9,-3.89
SUCROSE,3,0,0,0,0,13,2,-2,342.299,9.48,517.448,196.217,321.231,0,0,945.025,8,16.8,0.0950933,0.0918306,0.9000374,23.319,11.282,29.786,28.546,-3.27,-1.077,-0.355,-3.149,8.906,-2.864,3.007,-6.192,10.453,-1.658,8,-1.179,1,20.736,0,0,188.516,11,2,11,0,11,9,23,-3.7
mannitol,4,0,0,0,0,11,0,-2,182.173,5.979,380.39,141.583,238.807,0,0,604.457,6,10.2,0.059142,0.0656821,0.9088946,10.973,6.943,18.104,18.667,-2.267,-0.45,-0.27,-3.006,53.863,-2.027,21.039,-4.865,10.996,-2.039,6,-1.082,2,40.543,0,0,120.75,6,1,0,0,0,0,12,-3.1
l-alanine,8,1,0,1,0,2,0,-1,89.094,1.445,261.407,105.472,155.935,0,0,369.327,3,3,0.0056523,0.0198776,0.9523317,7.342,3.527,7.824,8.316,-2.739,0.498,0.836,-1.222,20.781,-0.305,10.575,-6.264,10.047,-0.565,3,-1.051,2,50.572,0,0,74.853,3,0,0,0,0,0,6,-2.96
urea,10,0,0,0,1,0,0,-1,60.055,6.266,199.024,0,199.024,0,0,254.19,4,2,0.1544466,0.0200981,0.9750614,4.019,2.929,9.956,12.873,-2.332,2,0.611,-0.561,54.054,-0.832,53.803,-5.188,9.71,-1.195,0,-1.368,3,50.104,0,47.202,81.943,3,0,0,0,0,0,4,-2.11
ouabain,5,0,0,0,0,11,1,-2,584.659,10.68,840.805,483.082,331.481,26.243,0,1623.032,8,18.1,0.0702755,0.0608875,0.7943668,51.987,17.633,40.203,31.295,-0.893,-3.756,-4.319,-4.985,7.12,-3.602,2.361,-6.48,10.331,0.792,10,-0.816,1,19.949,0,0,199.933,12,3,28,0,28,23,41,-2
amoxicillin,0,1,0,1,2,5,1,-2,349.404,4.664,560.331,165.093,224.393,151.602,19.244,1027.347,3.25,7.25,0.0211695,0.0233257,0.8787497,33.198,11.387,20.263,19.784,-1.912,-0.386,-1.577,-0.387,1.237,-1.229,2.679,-6.704,9.663,0.798,5,-0.945,1,43.804,0,72.355,138.461,7,0,13,4,9,4,24,-1.99
uridine,0,0,0,0,0,4,0,-2,244.204,1.281,414.295,118.872,223.982,71.442,0,696.855,4,10.3,0.0023566,0.049723,0.9175219,19.848,7.922,17.886,17.847,-1.635,-1.388,-0.99,-3.207,74.453,-1.451,29.853,-5.012,9.929,0.877,4,-0.866,2,48.669,0,0,137.324,8,0,11,0,11,4,17,-1.98
methotrexate59-05-2,4,0,0,2,0,11,0,-2,454.444,1.681,768.298,154.098,434.687,179.514,0,1349.02,6.25,11.75,0.0020939,0.0382339,0.7685068,42.485,16.682,30.499,24.047,0.429,-4.145,-4.187,-2.519,0.048,-5.006,0.017,-7.842,8.416,0.951,5,-0.895,1,0,0,0,234.818,13,2,16,0,16,0,33,-1.85
ascorbicacid;50-81-7,2,0,0,0,0,6,0,-2,176.126,4.061,349.547,74.555,263.382,11.61,0,544.895,4,7.9,0.0302597,0.0452014,0.9229987,11.911,6.243,14.219,14.747,-2.001,-0.64,-0.633,-2.833,31.496,-1.859,11.78,-5.757,9.579,0.783,5,-0.946,2,35.379,0,0,129.272,6,0,5,0,5,1,12,-1.85
