molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logS
perchlorobiphenyl,9,0,0,0,0,1,0,1,498.662,0,565.08,0,0,40.351,524.729,995.549,0,0,0,0,0.8532906,33.431,11.456,12.673,1.317,8.26,-10.8,-10.948,-4.098,9906.038,0.192,10000,-1.281,9.443,0.943,0,1.466,1,100,0,0,0,0,1,12,0,12,0,22,-10.8
2;2';3;3';4;4';5;5';6-PCB4018,8,0,0,0,0,1,0,1,464.217,1.552,555.837,0,0,64.378,491.459,965.872,0,0,0.0024949,0,0.8501529,32.473,11.093,12.227,1.446,8.122,-10.26,-10.456,-4.264,9906.038,0.192,10000,-1.197,9.461,0.963,0,1.379,1,100,0,0,0,0,1,12,0,12,0,21,-10.26
benzo(ghi)perylene191-24-2,7,0,0,0,0,0,0,1,276.337,0.053,489.815,0,0,489.815,0,857.542,0,0,0.0000033,0,0.89119,32.843,9.774,10.699,4.319,6.63,-9.03,-8.628,-5.629,9906.038,0.192,5899.293,0.206,7.862,1.414,1,1.107,1,100,0,0,0,0,1,22,0,22,0,22,-9.03
benzo(j)fluoranthene205-82-3,6,0,0,0,0,0,0,1,252.315,1.21,482.586,0,0,482.586,0,826.847,0,0,0.001772,0,0.8828238,31.545,9.371,10.227,4.413,5.881,-8,-8.184,-5.729,9906.038,0.192,5899.293,0.181,8.184,1.653,0,1.018,1,100,0,0,0,0,1,20,0,20,0,20,-8
2;3;4;5;6-pentachlorobiphenyl,7,0,0,0,0,1,0,1,326.436,2.545,479.575,0,0,211.22,268.355,807.988,0,0,0.0080143,0,0.8748054,27.557,9.113,9.75,2.183,6.52,-7.92,-7.753,-4.565,9906.038,0.192,10000,-0.679,9.337,0.795,0,0.921,1,100,0,0,0,0,1,12,0,12,0,17,-7.92
DDT,7,0,0,0,0,2,0,1,354.49,1.281,522.957,7.344,0,225.561,290.052,910.055,0,0,0.0018039,0,0.8684482,31.136,10.341,11.02,2.172,6.91,-7.81,-7.289,-4.736,9906.038,0.207,10000,-0.533,9.409,0.466,1,1.175,1,100,0,0,0,0,1,12,0,12,0,19,-7.81
D4octamethylcyclotetrasiloxan,7,0,0,0,0,0,0,2,296.617,0.004,556.443,556.443,0,0,0,1015.827,0,0.8,0,0,0.878262,34.499,7.754,10.928,1.846,5.1,-7.78,-7.702,-3.502,9906.038,0.941,5899.293,0.599,8.239,-1.727,0,1.353,1,100,0,0,16.032,4,0,8,0,0,4,16,-7.78
dodecane,12,0,0,0,0,9,0,2,170.337,0,532.324,532.324,0,0,0,862.874,0,0,0,0,0.8234192,22.599,6.04,5.818,-2.71,7.268,-7.67,-7.65,-4.389,9906.038,1.258,5899.293,2.701,11.373,-2.972,0,0.741,1,100,0,0,0,0,1,0,0,0,0,12,-7.67
tirilazad110101-66-1,8,1,0,0,0,3,1,1,624.868,7.531,1020.852,790.95,97.132,132.77,0,1985.182,0,9.5,0.0285686,0,0.7482887,72.635,18.563,29.751,12.436,6.576,-8.88,-8.657,-6.964,296.279,-0.375,146.961,-4.616,8.048,0.615,6,1.712,1,78.196,0,0,82.83,8,2,39,0,39,22,46,-7.59
diosgenin512-04-9,3,0,0,0,0,1,1,1,414.627,2.388,691.806,614.234,48.64,28.932,0,1329.087,1,3.2,0.0042902,0.0046256,0.8450509,46.67,11.3,18.257,6.308,6.01,-7.32,-7.632,-4.177,3424.87,0.049,1871.703,-2.218,9.507,-1.009,3,1.594,1,100,0,0,37.466,3,1,25,0,25,21,30,-7.32
