molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm
"Everolimus",15,0,0,0,0,33,6,-2,958.237,0.000,1437.383,1205.477,189.807,42.098,0.000,2953.306,1.000,20.700,0.0000000,0.0144012,0.6925721,91.250,28.267,43.498,19.330,7.556,-8.283,-12.857,-6.707,157.022,-4.063,66.877,-1.701,0.000,0.000,13,0.693,2,55.007,0.000,0.000,205.496,15,3,18,0,18,16,68
"Pregabalin",0,1,0,1,0,6,0,-1,159.228,0.000,395.920,248.164,147.756,0.000,0.000,640.084,3.000,3.000,0.0000000,0.0131243,0.9072265,15.610,5.981,10.848,7.702,-1.215,-0.724,-0.200,-1.952,24.845,-0.596,12.826,-5.729,0.000,0.000,3,-0.727,2,52.538,0.000,0.000,74.538,3,0,0,0,0,0,11
"Ximelagatran",0,1,0,0,2,14,2,-2,473.571,0.000,785.190,509.085,181.222,94.884,0.000,1480.222,5.000,11.700,0.0000000,0.0333193,0.7999715,45.001,15.076,27.868,23.915,0.311,-0.706,-2.357,-3.199,14.863,-1.770,20.197,-5.244,0.000,0.000,5,-0.931,2,60.442,0.000,63.087,150.631,10,0,16,4,12,9,34
"Estradiol",1,0,0,0,0,7,1,-1,384.558,0.000,740.549,537.344,91.261,111.944,0.000,1348.545,1.000,2.750,0.0000000,0.0037135,0.7971162,44.389,12.462,17.579,5.513,6.118,-7.641,-7.093,-5.349,1350.431,-0.816,684.503,-2.135,0.000,0.000,4,1.476,2,83.150,0.000,0.000,56.053,3,1,17,0,17,11,28
"Acetyl",0,0,0,0,0,5,0,-2,322.338,0.000,537.159,168.612,174.130,193.809,0.609,933.916,1.500,8.000,0.0000000,0.0182403,0.8602024,29.862,9.840,17.208,12.489,0.875,-2.617,-3.430,-4.718,221.120,-1.305,97.568,-3.566,0.000,0.000,2,-0.509,3,68.464,0.000,0.000,118.689,8,0,12,0,12,0,22
"Mitiglinide",0,0,0,1,1,5,0,-1,315.411,0.000,590.135,312.922,90.426,186.787,0.000,1058.851,1.000,5.000,0.0000000,0.0084726,0.8513411,34.795,10.251,15.690,10.578,3.327,-3.400,-3.865,-1.646,198.726,-0.570,201.250,-2.048,0.000,0.000,3,-0.158,3,78.245,0.000,30.620,72.788,4,0,15,0,15,8,23
"Alkofanone",1,0,0,0,0,7,0,-2,365.446,0.000,617.141,23.172,136.721,457.249,0.000,1118.802,1.500,7.000,0.0000000,0.0138918,0.8445314,38.492,13.147,19.555,12.792,2.941,-3.893,-4.802,-6.228,500.467,-1.136,234.105,-1.756,0.000,0.000,4,0.022,3,94.280,0.000,0.000,81.215,4,0,18,0,18,0,26
"Indisetron",0,2,0,0,0,2,0,1,313.402,0.000,584.939,313.893,95.447,175.598,0.000,1030.637,1.000,6.500,0.0000000,0.0111123,0.8435778,35.485,9.920,16.726,10.396,1.538,-1.843,-1.439,-6.353,76.661,0.346,37.711,-6.593,0.000,0.000,2,0.084,3,86.209,0.000,0.000,74.086,6,0,18,0,18,7,23
"Granisetron",0,1,0,0,0,2,0,1,312.414,0.000,605.931,381.938,59.175,164.818,0.000,1060.956,1.000,5.500,0.0000000,0.0090769,0.8302460,36.595,9.853,15.933,9.142,2.897,-3.780,-3.029,-5.791,678.647,0.269,359.962,-3.900,0.000,0.000,1,0.351,3,94.238,0.000,0.000,57.432,5,0,18,0,18,8,23
"Antazoline",0,0,1,0,0,5,0,1,265.357,0.000,530.446,164.165,24.323,341.958,0.000,932.256,1.000,3.000,0.0000000,0.0056556,0.8700555,31.210,9.738,12.647,6.804,4.099,-4.048,-2.923,-5.265,5824.343,0.048,3322.702,-2.346,0.000,0.000,4,0.370,3,100.000,0.000,0.000,26.217,3,0,17,0,17,2,20
"Cinacalcet",2,1,0,0,0,6,0,2,357.418,0.000,677.476,164.215,4.311,391.947,117.002,1175.525,1.000,1.500,0.0000000,0.0022141,0.7951080,40.781,11.421,15.056,5.705,6.381,-6.403,-5.749,-7.443,2248.650,0.842,5748.506,-1.705,0.000,0.000,4,1.286,2,100.000,117.002,0.000,10.684,1,1,16,0,16,0,26
"Budralazine",0,0,0,0,0,3,1,0,240.307,0.000,528.099,241.515,58.425,228.159,0.000,889.092,1.000,4.500,0.0000000,0.0085211,0.8467354,29.680,8.649,13.013,8.175,2.845,-3.830,-2.972,-5.100,2766.042,-0.161,1485.754,-1.504,0.000,0.000,5,0.053,3,100.000,0.000,0.000,47.667,4,0,10,0,10,0,18
